word_corrected,year,count,frequency,is_bad_word,word_length,genre
part,1994,25,0.0015441630636195182,0,4,rock
inside,1994,25,0.0015441630636195182,0,6,rock
sure,1994,25,0.0015441630636195182,0,4,rock
black,1994,24,0.0014823965410747375,0,5,rock
game,1994,24,0.0014823965410747375,0,4,rock
really,1994,24,0.0014823965410747375,0,6,rock
fall,1994,24,0.0014823965410747375,0,4,rock
seem,1994,24,0.0014823965410747375,0,4,rock
two,1994,24,0.0014823965410747375,0,3,rock
work,1994,24,0.0014823965410747375,0,4,rock
pleas,1994,23,0.0014206300185299568,0,5,rock
bend,1994,23,0.0014206300185299568,0,4,rock
star,1994,23,0.0014206300185299568,0,4,rock
play,1995,36,0.0020713463751438435,0,4,rock
light,1995,36,0.0020713463751438435,0,5,rock
pretty,1995,36,0.0020713463751438435,0,6,rock
rock,1995,35,0.0020138089758342925,0,4,rock
die,1995,35,0.0020138089758342925,0,3,rock
every,1995,35,0.0020138089758342925,0,5,rock
put,1995,35,0.0020138089758342925,0,3,rock
lost,1995,35,0.0020138089758342925,0,4,rock
hand,1995,35,0.0020138089758342925,0,4,rock
drunk,1995,34,0.001956271576524741,0,5,rock
hard,1995,34,0.001956271576524741,1,4,rock
still,1995,34,0.001956271576524741,0,5,rock
cometh,1995,33,0.0018987341772151898,0,6,rock
head,1995,33,0.0018987341772151898,0,4,rock
become,1995,33,0.0018987341772151898,0,6,rock
new,1995,33,0.0018987341772151898,0,3,rock
two,1995,33,0.0018987341772151898,0,3,rock
aussi,1995,32,0.0018411967779056386,0,5,rock
old,1995,32,0.0018411967779056386,0,3,rock
turn,1995,32,0.0018411967779056386,0,4,rock
end,1995,31,0.0017836593785960874,0,3,rock
before,1995,31,0.0017836593785960874,0,6,rock
hope,1995,31,0.0017836593785960874,0,4,rock
town,1995,31,0.0017836593785960874,0,4,rock
run,1995,31,0.0017836593785960874,0,3,rock
made,1995,30,0.0017261219792865361,0,4,rock
sound,1995,29,0.0016685845799769851,0,5,rock
place,1995,29,0.0016685845799769851,0,5,rock
lie,1995,28,0.001611047180667434,0,3,rock
pop,1995,28,0.001611047180667434,0,3,rock
mind,1995,28,0.001611047180667434,0,4,rock
hate,1995,28,0.001611047180667434,0,4,rock
really,1995,28,0.001611047180667434,0,6,rock
leave,1995,28,0.001611047180667434,0,5,rock
stand,1995,28,0.001611047180667434,0,5,rock
took,1995,28,0.001611047180667434,0,4,rock
angel,1995,27,0.0015535097813578827,0,5,rock
ai,1995,27,0.0015535097813578827,0,2,rock
hold,1995,27,0.0015535097813578827,0,4,rock
ooh,1995,27,0.0015535097813578827,0,3,rock
left,1995,26,0.0014959723820483315,0,4,rock
wind,1995,26,0.0014959723820483315,0,4,rock
on,1995,26,0.0014959723820483315,1,2,rock
fear,1995,26,0.0014959723820483315,0,4,rock
dream,1995,25,0.0014384349827387803,0,5,rock
show,1995,25,0.0014384349827387803,0,4,rock
soul,1995,25,0.0014384349827387803,0,4,rock
country,1995,25,0.0014384349827387803,0,7,rock
going,1995,25,0.0014384349827387803,0,5,rock
inside,1995,25,0.0014384349827387803,0,6,rock
pleas,1995,25,0.0014384349827387803,0,5,rock
call,1996,41,0.0018987634881674617,0,4,rock
find,1996,41,0.0018987634881674617,0,4,rock
hand,1996,41,0.0018987634881674617,0,4,rock
run,1996,40,0.0018524521835780114,0,3,rock
start,1996,40,0.0018524521835780114,0,5,rock
hold,1996,39,0.001806140878988561,0,4,rock
made,1996,39,0.001806140878988561,0,4,rock
wish,1996,39,0.001806140878988561,0,4,rock
rock,1996,39,0.001806140878988561,0,4,rock
dead,1996,38,0.0017598295743991108,0,4,rock
cometh,1996,38,0.0017598295743991108,0,6,rock
damn,1996,38,0.0017598295743991108,1,4,rock
part,1996,37,0.0017135182698096605,0,4,rock
better,1996,37,0.0017135182698096605,0,6,rock
girl,1996,37,0.0017135182698096605,0,4,rock
told,1996,36,0.0016672069652202103,0,4,rock
fuck,1996,36,0.0016672069652202103,1,4,rock
without,1996,36,0.0016672069652202103,0,7,rock
hell,1996,36,0.0016672069652202103,1,4,rock
talk,1996,36,0.0016672069652202103,0,4,rock
fear,1996,35,0.00162089566063076,0,4,rock
chorus,1996,35,0.00162089566063076,0,6,rock
left,1996,35,0.00162089566063076,0,4,rock
leave,1996,35,0.00162089566063076,0,5,rock
watch,1996,35,0.00162089566063076,0,5,rock
free,1996,35,0.00162089566063076,0,4,rock
believe,1996,35,0.00162089566063076,0,7,rock
sure,1996,34,0.0015745843560413097,0,4,rock
place,1996,34,0.0015745843560413097,0,5,rock
might,1996,34,0.0015745843560413097,0,5,rock
put,1996,34,0.0015745843560413097,0,3,rock
walk,1996,33,0.0015282730514518594,0,4,rock
sweet,1996,33,0.0015282730514518594,0,5,rock
da,1996,33,0.0015282730514518594,0,2,rock
went,1996,32,0.0014819617468624091,0,4,rock
use,1996,32,0.0014819617468624091,0,3,rock
first,1996,32,0.0014819617468624091,0,5,rock
guy,1996,32,0.0014819617468624091,0,3,rock
thought,1996,31,0.0014356504422729588,0,7,rock
skin,1996,31,0.0014356504422729588,0,4,rock
soon,1996,31,0.0014356504422729588,0,4,rock
lover,1996,31,0.0014356504422729588,0,5,rock
remember,1996,31,0.0014356504422729588,0,8,rock
open,1996,31,0.0014356504422729588,0,4,rock
wonder,1996,31,0.0014356504422729588,0,6,rock
yes,1996,31,0.0014356504422729588,0,3,rock
gave,1996,30,0.0013893391376835085,0,4,rock
full,1996,30,0.0013893391376835085,0,4,rock
sun,1996,30,0.0013893391376835085,0,3,rock
enough,1996,30,0.0013893391376835085,0,6,rock
ride,1996,30,0.0013893391376835085,0,4,rock
boy,1997,36,0.0018603689731796806,0,3,rock
place,1997,36,0.0018603689731796806,0,5,rock
and,1997,36,0.0018603689731796806,0,3,rock
people,1997,35,0.0018086920572580227,0,6,rock
light,1997,35,0.0018086920572580227,0,5,rock
cometh,1997,35,0.0018086920572580227,0,6,rock
start,1997,35,0.0018086920572580227,0,5,rock
little,1997,34,0.0017570151413363651,0,6,rock
ground,1997,34,0.0017570151413363651,0,6,rock
mary,1997,34,0.0017570151413363651,0,4,rock
good,1997,34,0.0017570151413363651,0,4,rock
any,1997,34,0.0017570151413363651,0,3,rock
believe,1997,33,0.0017053382254147073,0,7,rock
listen,1997,33,0.0017053382254147073,0,6,rock
fuck,1997,33,0.0017053382254147073,1,4,rock
talk,1997,33,0.0017053382254147073,0,4,rock
went,1997,33,0.0017053382254147073,0,4,rock
beat,1997,32,0.0016536613094930495,0,4,rock
put,1997,32,0.0016536613094930495,0,3,rock
leave,1997,32,0.0016536613094930495,0,5,rock
stand,1997,32,0.0016536613094930495,0,5,rock
baby,1997,32,0.0016536613094930495,0,4,rock
ever,1997,32,0.0016536613094930495,0,4,rock
ask,1997,32,0.0016536613094930495,0,3,rock
the,1997,32,0.0016536613094930495,0,3,rock
war,1997,31,0.0016019843935713917,0,3,rock
black,1997,31,0.0016019843935713917,0,5,rock
skin,1997,30,0.001550307477649734,0,4,rock
along,1997,30,0.001550307477649734,0,5,rock
town,1997,30,0.001550307477649734,0,4,rock
play,1997,30,0.001550307477649734,0,4,rock
even,1997,30,0.001550307477649734,0,4,rock
made,1997,30,0.001550307477649734,0,4,rock
use,1997,29,0.001498630561728076,0,3,rock
rock,1997,29,0.001498630561728076,0,4,rock
dust,1997,29,0.001498630561728076,0,4,rock
sometime,1997,29,0.001498630561728076,0,8,rock
seem,1997,29,0.001498630561728076,0,4,rock
before,1997,29,0.001498630561728076,0,6,rock
must,1997,29,0.001498630561728076,0,4,rock
took,1997,29,0.001498630561728076,0,4,rock
ich,1997,28,0.0014469536458064183,0,3,rock
move,1997,28,0.0014469536458064183,0,4,rock
wanna,1997,28,0.0014469536458064183,0,5,rock
lord,1997,27,0.0013952767298847605,0,4,rock
kill,1997,27,0.0013952767298847605,0,4,rock
dark,1997,27,0.0013952767298847605,0,4,rock
que,1997,26,0.0013435998139631027,0,3,rock
real,1997,26,0.0013435998139631027,0,4,rock
done,1997,26,0.0013435998139631027,0,4,rock
sound,1997,26,0.0013435998139631027,0,5,rock
little,1998,39,0.0020367662419051597,0,6,rock
fly,1998,39,0.0020367662419051597,0,3,rock
ha,1998,38,0.001984541466471694,0,2,rock
room,1998,38,0.001984541466471694,0,4,rock
shit,1998,38,0.001984541466471694,1,4,rock
fall,1998,38,0.001984541466471694,0,4,rock
show,1998,38,0.001984541466471694,0,4,rock
high,1998,37,0.0019323166910382285,0,4,rock
last,1998,37,0.0019323166910382285,0,4,rock
without,1998,37,0.0019323166910382285,0,7,rock
watch,1998,37,0.0019323166910382285,0,5,rock
believe,1998,37,0.0019323166910382285,0,7,rock
along,1998,37,0.0019323166910382285,0,5,rock
kill,1998,36,0.001880091915604763,0,4,rock
talk,1998,36,0.001880091915604763,0,4,rock
put,1998,35,0.0018278671401712973,0,3,rock
name,1998,35,0.0018278671401712973,0,4,rock
girl,1998,35,0.0018278671401712973,0,4,rock
lost,1998,35,0.0018278671401712973,0,4,rock
behind,1998,34,0.0017756423647378315,0,6,rock
roll,1998,34,0.0017756423647378315,0,4,rock
before,1998,34,0.0017756423647378315,0,6,rock
fine,1998,33,0.001723417589304366,0,4,rock
even,1998,33,0.001723417589304366,0,4,rock
stand,1998,33,0.001723417589304366,0,5,rock
burn,1998,32,0.0016711928138709003,0,4,rock
use,1998,32,0.0016711928138709003,0,3,rock
hand,1998,32,0.0016711928138709003,0,4,rock
gone,1998,32,0.0016711928138709003,0,4,rock
long,1998,32,0.0016711928138709003,0,4,rock
father,1998,31,0.0016189680384374348,0,6,rock
run,1998,31,0.0016189680384374348,0,3,rock
jest,1998,31,0.0016189680384374348,0,4,rock
tear,1998,31,0.0016189680384374348,0,4,rock
play,1998,30,0.001566743263003969,0,4,rock
friend,1998,30,0.001566743263003969,0,6,rock
hey,1998,30,0.001566743263003969,0,3,rock
year,1998,30,0.001566743263003969,0,4,rock
blue,1998,29,0.0015145184875705034,0,4,rock
true,1998,29,0.0015145184875705034,0,4,rock
head,1998,29,0.0015145184875705034,0,4,rock
gut,1998,29,0.0015145184875705034,0,3,rock
carry,1998,29,0.0015145184875705034,0,5,rock
rock,1998,29,0.0015145184875705034,0,4,rock
pleas,1998,29,0.0015145184875705034,0,5,rock
since,1998,28,0.0014622937121370379,0,5,rock
came,1998,28,0.0014622937121370379,0,4,rock
hear,1998,28,0.0014622937121370379,0,4,rock
skin,1998,28,0.0014622937121370379,0,4,rock
star,1998,27,0.0014100689367035721,0,4,rock
alright,1998,27,0.0014100689367035721,0,7,rock
lost,1999,42,0.0019871309613928843,0,4,rock
left,1999,41,0.0019398183194549584,0,4,rock
gotta,1999,41,0.0019398183194549584,0,5,rock
